Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Collection
wigwag-quad-recycler-cb-attachment,Wigwag Quad Recycler CB Attachment,"<p><em>Wigwag Quad Recycler CB Attachment</em> by DabLabs&nbsp;a fusion of high-performance filtration and handcrafted artistry.</p><p>Designed for both the Puffco Peak and Peak Pro, this premium borosilicate glass piece features bold, colorful wigwag patterns and a mesmerizing <strong>encased opal centerpiece</strong>, creating a luxurious visual signature with every rip.<br><br>The <strong>quad recycler system</strong> delivers silky-smooth, filtered vapor through continuous water movement&nbsp;maximizing cooling, flavor, and draw efficiency.</p><ul>	<li>	<p><strong>Compatible with Puffco Peak &amp; Peak Pro</strong></p>	</li>	<li>	<p><strong>Quad Recycler Design:</strong> Advanced water flow for cleaner, cooler hits</p>	</li>	<li>	<p><strong>Handcrafted Wigwag Artwork:</strong> Every piece is a functional masterpiece</p>	</li>	<li>	<p><strong>Encased Opal Accent:</strong> A sparkling touch of elegance</p>	</li>	<li>	<p><strong>Premium Borosilicate Glass:</strong> Heat-resistant, durable, and beautiful</p>	</li></ul>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Red,,200,shopify,10,deny,299.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_21788ccb86834cf78369544f8bff56d1~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_21788ccb86834cf78369544f8bff56d1~mv2.png",1,Wigwag Quad Recycler CB Attachment,Glass Tops;Peak OG;Peak Pro
wigwag-quad-recycler-cb-attachment,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Lime Green,,200,shopify,10,deny,299.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
wigwag-quad-recycler-cb-attachment,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Aqua,,200,shopify,10,deny,299.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
wigwag-quad-recycler-cb-attachment,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Yellow,,200,shopify,10,deny,299.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
wigwag-quad-recycler-cb-attachment,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Clear Yellow,,200,shopify,10,deny,299.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
puffco-universal-replacement-glass,Puffco Universal Replacement Glass,"<p>Breathe new life into your Puffco with the <em>CrystalClear Universal Replacement Glass</em> — a sleek, high-quality replacement made for flawless compatibility with <strong>all Puffco Peak models</strong>, including the Peak and Peak Pro.<br>&nbsp;</p><p>Crafted from durable borosilicate glass and engineered for a snug, secure fit, this clear attachment delivers smooth, unfiltered beauty while preserving the full flavor of your concentrates.<br>&nbsp;</p><ul>	<li>	<p><strong>Universal Fit:</strong> Perfectly compatible with Puffco Peak and Peak Pro</p>	</li>	<li>	<p><strong>Pure &amp; Minimalist Design:</strong> Crystal-clear look that highlights every vapor trail</p>	</li>	<li>	<p><strong>Premium Borosilicate Glass:</strong> Heat-resistant, durable, and easy to clean</p>	</li>	<li>	<p><strong>Effortless Functionality:</strong> Seamless airflow for smooth, satisfying draws</p>	</li></ul>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,,,,200,shopify,10,deny,59.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_5bfb440329a24c9e9f1ab3ce8ce48eaa~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_5bfb440329a24c9e9f1ab3ce8ce48eaa~mv2.png",1,Puffco Universal Replacement Glass,Glass Tops;Peak OG;Peak Pro
matrix-percolator-glass,Matrix Percolator Glass,"<p><em>Matrix Percolator Glass</em> — a performance-driven replacement glass designed to deliver smoother, cleaner, and cooler hits with every draw. Crafted for the Puffco Peak and Peak Pro, this advanced matrix percolator system diffuses vapor through a dense grid of slits for maximum filtration and minimal drag.</p><p>Engineered for both daily drivers and flavor chasers, this is not just a replacement — it’s a serious upgrade.</p><ul>	<li>	<p><strong>Matrix Perc Power:</strong> High-efficiency percolation for ultra-smooth vapor</p>	</li>	<li>	<p><strong>Universal Fit:</strong> Compatible with Puffco Peak &amp; Peak Pro</p>	</li>	<li>	<p><strong>Crystal-Clear Glass:</strong> Sleek, durable design with easy-to-clean structure</p>	</li>	<li>	<p><strong>Balanced Function + Form:</strong> Beautiful craftsmanship meets optimized airflow</p>	</li></ul>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,,,,200,shopify,10,deny,74.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_ba7c2a1fc4484a12ba955d64e653e8b2~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_ba7c2a1fc4484a12ba955d64e653e8b2~mv2.png",1,Matrix Percolator Glass,Glass Tops;Peak OG;Peak Pro
matrix-percolator-glass,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_8302212530a446dd9879db9ae71c666e~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_8302212530a446dd9879db9ae71c666e~mv2.png",2,Matrix Percolator Glass,
matrix-percolator-glass,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_226cd49f91b04bbf920ab595fc32aeb5~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_226cd49f91b04bbf920ab595fc32aeb5~mv2.png",3,Matrix Percolator Glass,
diamond-textured-glass-top,Diamond-Textured Glass Top,"<p><em>Diamond-Textured Replacement Glass</em> — where style meets superior functionality. Featuring a vibrant pink/blue or green/blue gradient, this replacement glass adds a splash of color and personality to your rig, making every session visually captivating.<br>&nbsp;</p><p>The expertly crafted diamond-textured pattern isn’t just for looks — it provides an enhanced grip for better handling and stability, so you can enjoy your experience with confidence and ease.<br>&nbsp;</p><ul>	<li>	<p><strong>Perfect Fit:</strong> Designed exclusively for Puffco Peak and Peak Pro</p>	</li>	<li>	<p><strong>Eye-Catching Gradients:</strong> Choose from dynamic Pink/Blue or Green/Blue hues</p>	</li>	<li>	<p><strong>Diamond Textured Surface:</strong> Unique grip and stylish flair combined</p>	</li>	<li>	<p><strong>Durable &amp; Functional:</strong> Premium glass built to last and perform</p>	</li></ul>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Pink/Blue,,200,shopify,10,deny,69.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_f54097449d3949a68da6ad43952bc821~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_f54097449d3949a68da6ad43952bc821~mv2.png",1,Diamond-Textured Glass Top,Glass Tops;Peak OG;Peak Pro
diamond-textured-glass-top,,,Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,Colour,Green/Blue,,200,shopify,10,deny,69.99,TRUE,TRUE,,,,Glass Tops;Peak OG;Peak Pro
telescope-top-attachment,Telescope Top Attachment,"<p>Designed for those who demand both form and function, this celestial upgrade redefines your sesh with mesmerizing aesthetics and ultra-efficient diffusion.</p><p><strong>Astronomical Airflow:</strong><br>Features a dual-hole percolator diffuser that delivers silky, cooled vapor with every draw — launching your terps into orbit.</p><p><strong>Telescope Form Factor:</strong><br>The elongated, clear-tube silhouette enhances airflow dynamics while giving your rig an interstellar aesthetic. Watch your vapor spiral like a nebula in real-time.</p><p><strong>Universal Compatibility:</strong><br>Effortlessly fits both Puffco Peak and Peak Pro bases for a seamless plug-and-play upgrade.</p>",Dab Labs,Glass Tops,"Glass Tops, Peak OG, Peak Pro",TRUE,,,,200,shopify,10,deny,74.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_0b8760812882462fb089d2e73d52ab2e~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_0b8760812882462fb089d2e73d52ab2e~mv2.png",1,Telescope Top Attachment,Glass Tops;Peak OG;Peak Pro
telescope-top-attachment,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_65fc24a67f1c4237b20448c895e9a6b9~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_65fc24a67f1c4237b20448c895e9a6b9~mv2.png",2,Telescope Top Attachment,
telescope-top-attachment,,,,,,,,,,,,,,,,,"https://static.wixstatic.com/media/09e6d7_12438d06617d4a7e9792b8e75bf88fba~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_12438d06617d4a7e9792b8e75bf88fba~mv2.png",3,Telescope Top Attachment,
opal-joystick-cap-for-peak-3dxl-360-control,Opal Joystick Cap for Peak 3DXL – 360° Control,"<p>Master airflow with the Opal Joystick Cap for Puffco Peak 3DXL. Featuring 360° vortex control, hand-set opal&nbsp;for elite performance and unmatched elegance.</p>",Dab Labs,Joysticks & Tethers,"Joysticks & Tethers, Peak Pro",TRUE,Colour,Yellow,,450,shopify,10,deny,39.99,TRUE,TRUE,"https://static.wixstatic.com/media/09e6d7_b7788962b3e44e1d8819039fa20590f1~mv2.png/v1/fill/w_800,h_800,al_c,q_85/09e6d7_b7788962b3e44e1d8819039fa20590f1~mv2.png",1,Opal Joystick Cap for Peak 3DXL – 360° Control,Joysticks & Tethers;Peak Pro
opal-joystick-cap-for-peak-3dxl-360-control,,,Dab Labs,Joysticks & Tethers,"Joysticks & Tethers, Peak Pro",TRUE,Colour,Clear Yellow,,450,shopify,10,deny,39.99,TRUE,TRUE,,,,Joysticks & Tethers;Peak Pro
opal-joystick-cap-for-peak-3dxl-360-control,,,Dab Labs,Joysticks & Tethers,"Joysticks & Tethers, Peak Pro",TRUE,Colour,Blue,,450,shopify,10,deny,39.99,TRUE,TRUE,,,,Joysticks & Tethers;Peak Pro
opal-joystick-cap-for-peak-3dxl-360-control,,,Dab Labs,Joysticks & Tethers,"Joysticks & Tethers, Peak Pro",TRUE,Colour,Red,,450,shopify,10,deny,39.99,TRUE,TRUE,,,,Joysticks & Tethers;Peak Pro
